GEO.id,GEO.id2,District,Clinton,Trump,Insured,Income,Poverty,Bach,Wbach,Gini,NoComp,PresMargin,Special
5001400US0101,101,"Congressional District 1 (114th Congress), Alabama",34.1,63.5,85.8,44309,18.3,15.2,26.2,0.4693,22.7,-29.4,
5001400US0102,102,"Congressional District 2 (114th Congress), Alabama",33,64.9,87.5,42645,19.5,13.5,24.1,0.4618,19.8,-31.9,
5001400US0103,103,"Congressional District 3 (114th Congress), Alabama",32.3,65.3,88.2,41695,20.4,12.5,22.3,0.4689,19.1,-33,
5001400US0104,104,"Congressional District 4 (114th Congress), Alabama",17.4,80.4,86.4,39147,19.2,9.7,16.5,0.4586,20.5,-63,
5001400US0105,105,"Congressional District 5 (114th Congress), Alabama",31.3,64.7,87.4,50392,15.1,18.8,31.3,0.4692,14.7,-33.4,
5001400US0106,106,"Congressional District 6 (114th Congress), Alabama",26.1,70.8,90.5,59659,11,21.4,36.3,0.4599,13,-44.7,
5001400US0107,107,"Congressional District 7 (114th Congress), Alabama",69.8,28.6,85.4,32245,28.8,12,26.9,0.4943,24.9,41.2,
5001400US0200,200,"Congressional District (at Large) (114th Congress), Alaska",37.6,52.8,81.8,72515,10.2,17.9,33.6,0.4181,7.6,-15.2,
5001400US0401,401,"Congressional District 1 (114th Congress), Arizona",46.6,47.7,84.4,47531,21.9,14.3,32.6,0.4595,18.4,-1.1,
5001400US0402,402,"Congressional District 2 (114th Congress), Arizona",49.6,44.7,88.6,47507,16.3,18.8,37.6,0.4697,10.8,4.9,
5001400US0403,403,"Congressional District 3 (114th Congress), Arizona",62.4,32.5,80.5,41293,24.5,10.1,25.2,0.4409,14.2,29.9,
5001400US0404,404,"Congressional District 4 (114th Congress), Arizona",27.5,67.7,86.8,44345,16.4,11.7,19.6,0.429,14.3,-40.2,
5001400US0405,405,"Congressional District 5 (114th Congress), Arizona",36.5,57.6,90.2,66620,9.5,22.4,35.7,0.4218,7.5,-21.1,
5001400US0406,406,"Congressional District 6 (114th Congress), Arizona",42.4,52.4,87.8,62482,12.5,25.7,44.4,0.4983,7.2,-10,
5001400US0407,407,"Congressional District 7 (114th Congress), Arizona",71.8,22.6,73,34186,34.6,9.2,27.3,0.4658,22.6,49.2,
5001400US0408,408,"Congressional District 8 (114th Congress), Arizona",37,58.1,90.2,59256,9.7,18.2,29.8,0.4085,9.5,-21.1,
5001400US0409,409,"Congressional District 9 (114th Congress), Arizona",54.7,38.4,83.2,50832,18.8,22.5,42.5,0.4768,10.1,16.3,
5001400US0501,501,"Congressional District 1 (114th Congress), Arkansas",30.2,65,85.6,36928,21.4,10.2,16.8,0.4606,22.1,-34.8,
5001400US0502,502,"Congressional District 2 (114th Congress), Arkansas",41.7,52.4,87,47206,16.3,17.8,30.2,0.466,14.9,-10.7,
5001400US0503,503,"Congressional District 3 (114th Congress), Arkansas",30.5,61.9,85.5,45185,17.9,16,26.8,0.4741,14,-31.4,
5001400US0504,504,"Congressional District 4 (114th Congress), Arkansas",31.3,64.2,85.3,37037,21.7,10.5,17.1,0.4641,24,-32.9,
5001400US0601,601,"Congressional District 1 (114th Congress), California",36.5,56.2,87,45741,18.5,15.2,24.6,0.4612,15.3,-19.7,
5001400US0602,602,"Congressional District 2 (114th Congress), California",69,23.3,88.8,62964,13.3,23.8,43.9,0.5274,10.1,45.7,
5001400US0603,603,"Congressional District 3 (114th Congress), California",53,40.4,88,56306,17.2,14.8,28.1,0.4545,10.3,12.6,
5001400US0604,604,"Congressional District 4 (114th Congress), California",39.3,54,90.7,66547,10.4,21.1,32.8,0.4522,9,-14.7,
5001400US0605,605,"Congressional District 5 (114th Congress), California",69.2,24.3,88,64524,12.7,20.4,35.8,0.4548,9.2,44.9,
5001400US0606,606,"Congressional District 6 (114th Congress), California",69.2,24.4,85.9,47433,22.9,17.2,34.3,0.4681,9.3,44.8,
